PKD_Code,Industry_Name,Year,Entity_Count,Revenue,Liabilities_Long,Net_Profit,Profitable_Ent,Liabilities_Short,Bankruptcy_Count,Profitability,Bankruptcy_Rate,Total_Debt,Revenue_Prev_Year,Dynamics_YoY,Sector,Norm_Profit,Norm_Dynamics,Stability_Score,AI_Hype_Mock,Transformation_Score,Status
01.,"UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ",2005,1429.0,9808.55,1740.96,140.51,1156.0,2968.07,0.0,0.8089573128061581,0.0,4709.030000000001,,0.0,Ogólny,0.8089573128061581,0.0,48.53743876836948,0.3745401188473625,11.236203565420874,Neutral
01.1,Uprawy rolne inne niż wieloletnie,2005,407.0,2342.87,419.83,126.37,349.0,691.99,0.0,0.8574938574938575,0.0,1111.82,,0.0,Ogólny,0.8574938574938575,0.0,51.44963144963145,0.9507143064099162,28.521429192297482,Neutral
01.11,"Uprawa zbóż, roślin strączkowych i roślin oleistych na nasiona, z wyłączeniem ryżu",2005,352.0,1640.23,340.94,118.53,307.0,479.15,0.0,0.8721590909090909,0.0,820.0899999999999,,0.0,Ogólny,0.8721590909090909,0.0,52.32954545454545,0.7319939418114051,21.959818254342153,Neutral
01.13,"Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych",2005,49.0,628.7,77.24,8.03,38.0,195.27,0.0,0.7755102040816326,0.0,272.51,,0.0,Ogólny,0.7755102040816326,0.0,46.53061224489796,0.5986584841970366,17.959754525911098,Neutral
01.19,Pozostałe uprawy rolne inne niż wieloletnie,2005,6.0,73.94,1.65,-0.19,4.0,17.57,0.0,0.6666666666666666,0.0,19.22,,0.0,Ogólny,0.6666666666666666,0.0,40.0,0.15601864044243652,4.680559213273095,Neutral
01.2,Uprawa roślin wieloletnich,2005,28.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,Ogólny,0.0,0.0,0.0,0.15599452033620265,4.679835610086079,Neutral
01.24,Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych,2005,8.0,16.9,3.26,-0.27,5.0,6.1,0.0,0.625,0.0,9.36,,0.0,Ogólny,0.625,0.0,37.5,0.05808361216819946,1.7425083650459836,Neutral
01.25,Uprawa pozostałych drzew i krzewów owocowych oraz orzechów,2005,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,Ogólny,0.0,0.0,0.0,0.8661761457749352,25.985284373248053,Neutral
01.28,Uprawa roślin przyprawowych i aromatycznych oraz roślin wykorzystywanych do produkcji leków i wyrobów farmaceutycznych,2005,16.0,68.7,9.15,0.51,11.0,41.82,0.0,0.6875,0.0,50.97,,0.0,Ogólny,0.6875,0.0,41.25,0.6011150117432088,18.033450352296263,Neutral
01.29,Uprawa pozostałych roślin wieloletnich,2005,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,Ogólny,0.0,0.0,0.0,0.7080725777960455,21.242177333881365,Neutral
