PKD_Code,Industry_Name,Klasyfikacja,Lending Opp (2026),Stability (Now),Stability (2026),Transformation (Now),Transformation (2026),Est. Revenue,Est. Growth,Est. Risk %
SEK_F,BUDOWNICTWO,⚠️ Wysokie Ryzyko (2026),59.900883092669524,45.85349259183752,51.227309436894565,78.41,83.44390476190951,248124.41060150415,0.036655771030390305,4.678007513224998
SEK_J,INFORMACJA I KOMUNIKACJA,⚠️ Wysokie Ryzyko (2026),56.77253097432435,57.14465575240979,57.75307883379157,66.53,69.13904761905201,197586.88391729444,0.10563587117723472,3.178894876816287
SEK_L,DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI,⚠️ Wysokie Ryzyko (2026),55.48122471773598,55.97020360692993,63.62152154516956,50.11,50.11676190476193,58637.89972180454,0.09072762700184356,3.2342228900823216
SEK_A,"ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO",⚠️ Wysokie Ryzyko (2026),55.34222079405538,50.34870035605352,58.85304419857946,51.739999999999995,52.09342857142873,46947.11312781926,0.05707543079348154,7.46435815442328
SEK_H,TRANSPORT I GOSPODARKA MAGAZYNOWA,⚠️ Wysokie Ryzyko (2026),54.80019142969242,46.74507873001726,57.2455511359931,55.25,56.34495238095318,291224.12956391275,0.10229464651822529,4.270360222377235
SEK_P,EDUKACJA,⚠️ Wysokie Ryzyko (2026),54.00382734064807,68.96627388508121,50.568984014356076,50.0,50.0,4361.286641337443,,4.705266359183952
SEK_I,DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI,⚠️ Wysokie Ryzyko (2026),52.95662370079126,58.21232644373602,58.30226406763791,51.83,52.24752380952415,32952.186233082786,0.1662726226376403,7.070027832198775
SEK_E,DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ,🔹 Neutralne,52.66193207667434,62.92990189576373,59.189980881768065,50.17,50.21485714285716,63988.879090225324,0.08130131446082656,0.7203636465896892
SEK_M,"DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA",⚠️ Wysokie Ryzyko (2026),50.44117722660538,56.90420392554404,57.86078177380769,50.75999999999999,50.78885714285727,139042.72789473832,0.11409567584707059,4.374207491506695
SEK_Q,OPIEKA ZDROWOTNA I POMOC SPOŁECZNA,⚠️ Wysokie Ryzyko (2026),50.14451651985662,67.92613609748884,59.38040151450015,50.0,50.0,59917.08491729386,0.1360873505393858,2.586345759479002
SEK_C,PRZETWÓRSTWO PRZEMYSŁOWE,🔹 Neutralne,46.639779435063396,39.3346225183759,55.45735748622235,52.629999999999995,53.24961904761949,2148491.1400075257,0.06991473150940991,1.9449946326365648
SEK_K,DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA,⚠️ Wysokie Ryzyko (2026),45.5384605624769,67.59240261215402,50.51352147551235,56.54,57.357904761905665,90090.31254887301,0.09508470438762628,6.442360784936909
SEK_G,"HANDEL HURTOWY I DETALICZNY; NAPRAWA POJAZDÓW SAMOCHODOWYCH, WŁĄCZAJĄC MOTOCYKLE",⚠️ Wysokie Ryzyko (2026),44.65084286875905,46.094910196607486,53.92892150302647,50.54,50.56514285714291,1926132.2191880047,0.07194794384126435,2.7397979667894674
SEK_S,POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA,⚠️ Wysokie Ryzyko (2026),44.594829059720986,50.52638396654721,46.97253720672897,50.0,50.0,6961.4397744361195,0.05304106045749535,14.457170629194252
SEK_R,"DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, ROZRYWKĄ I REKREACJĄ",⚠️ Wysokie Ryzyko (2026),44.403403491557256,52.61864167643013,47.04669254478534,50.0,50.0,63661.2631954886,0.29287790392649526,8.723198362906032
SEK_D,"WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ, GORĄCĄ WODĘ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH",🔹 Neutralne,43.61080761031406,33.88952724236872,54.31782063089808,50.86999999999999,51.04209523809531,452046.3434135318,0.13620926178161774,2.2195984507142725
SEK_B,GÓRNICTWO I WYDOBYWANIE,🔹 Neutralne,43.026933607318476,31.04179868092567,44.83399649808828,54.94,56.596285714286786,92228.25996240694,0.06411072090543857,1.2830214446653372
SEK_N,DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA,⚠️ Wysokie Ryzyko (2026),42.611866283428085,55.96526079921126,53.279134351935554,50.0,50.0,112983.7354887221,0.10774792223161311,4.2889691318443965
